location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Iceland,1993,0.7811587876036101,0.6031392354255323,Europe,0.6649647459275467,0.9317200877379181,0.6524614254224834,0.6763485477178423,0.7274233926555906,1.0
Sweden,1993,0.3657577887344079,0.6110282021204525,Europe,0.8140043763676147,0.9999999999999999,0.4562821454812638,0.9999999999999999,0.7241776270860866,2.0
Finland,1993,0.46846640193359845,0.6241488658386871,Europe,0.7314369073668855,0.8141229745984574,1.0,0.5961272475795297,0.707623624947566,3.0
Azerbaijan,1993,0.5915754523120795,1.0,Europe,0.8811086797957695,0.7573763532158776,0.4195444526083762,0.20124481327800833,0.6688089263933312,4.0
Kazakhstan,1993,0.48238427696912467,0.8261753634365656,Europe,0.8543642110381715,0.6621382579777824,0.5238795003673768,0.2773167358229599,0.6260386795189427,5.0
Republic of Moldova,1993,0.4043975715264585,0.6623752737535291,Europe,0.7918794067590565,0.7551829052571993,0.4886113152094049,0.2793914246196404,0.5896597013532003,6.0
Spain,1993,0.5908649437171105,0.6463694862673091,Europe,0.962071480671043,0.27694049387957265,0.7178545187362234,0.19778699861687413,0.5808314503636559,7.0
Denmark,1993,0.267037849741834,0.631048171750944,Europe,0.8091417456844152,0.6128210571004032,0.2527553269654666,0.5670816044260027,0.5454853167139998,8.0
Australia,1993,0.7550196610499744,0.43115344130683697,Western Pacific,0.5273522975929977,0.7587914809311539,0.4063188831741367,0.2814661134163209,0.5454533192367683,9.0
Czechia,1993,0.30873520326956116,0.9325835616131923,Europe,0.6440554339897884,0.5255784334536191,0.227773695811903,0.37897648686030433,0.5136290671697398,10.0
Bulgaria,1993,0.05176933260207717,0.9200485832266128,Europe,0.7641624118648187,0.46996391424326045,0.19030124908155768,0.4515905947441217,0.48980156994068136,11.0
New Zealand,1993,0.6833035166281605,0.20135424352258946,Western Pacific,0.4145392657427668,0.6392131889903063,0.7046289493019838,0.23720608575380364,0.4873584666371934,12.0
Albania,1993,0.961937577639059,0.8052766005217071,Europe,0.28178944809141737,0.31868676148022357,0.2696546656869949,0.24481327800829877,0.46954839780163776,13.0
Poland,1993,0.4500004927856023,0.8619034590901644,Europe,0.4889375151957208,0.3980046699214604,0.32108743570903747,0.29045643153526973,0.46822863435182976,14.0
Slovenia,1993,0.4536406456492532,0.9194256425723031,Europe,0.4403112083637247,0.39460836340479727,0.24761204996326228,0.32019363762102354,0.4599089626399893,15.0
Austria,1993,0.4062198918698685,0.5002973773691315,Europe,0.7481157306102602,0.3024127927545461,0.34386480529022784,0.25933609958506226,0.44474238910818237,16.0
Croatia,1993,0.3763679643408451,0.944006355507238,Europe,0.4451738390469243,0.30297884384065665,0.2637766348273329,0.3755186721991702,0.4437293539503065,17.0
Hungary,1993,0.0,0.9270306974282994,Europe,0.6656941405300266,0.38010330432321515,0.21528288023512124,0.21645919778699863,0.4141804418444434,18.0
Cyprus,1993,0.6185699398882496,0.5707464494204912,Europe,0.3712618526622903,0.20469822401471732,0.07347538574577517,0.40110650069156295,0.3707527438739622,19.0
Tajikistan,1993,0.3771558021183685,0.6617082489927533,Europe,0.462193046438123,0.3774145616641902,0.013225569434239533,0.0975103734439834,0.34805037242942244,20.0
Russian Federation,1993,0.05297031663482943,0.5558522121232667,Europe,0.9999999999999999,0.0,0.0,0.17219917012448135,0.3305381749373772,21.0
Turkey,1993,0.81968136099912,0.34119317951008954,Europe,0.19863846340870409,0.08575673954574399,0.20426157237325496,0.1141078838174274,0.2876462194850667,22.0
Malaysia,1993,1.0,0.5318634364911901,Western Pacific,0.051300753707755886,0.08611052147456305,0.034533431300514325,0.04149377593360995,0.2793883469399051,23.0
Ecuador,1993,0.9457082783352406,0.0,Americas,0.21176756625334306,0.07769051156866906,0.0014695077149155036,0.07952973720608575,0.22701105624975856,24.0
Sri Lanka,1993,0.9074960834261836,0.4037316563177993,South-East Asia,0.0,0.05405787872355479,0.00808229243203527,0.0,0.21876987963418185,25.0
